title,description,claimer,prize,claim_date,notes
The Stone Hydra,"Place 3 castles simultaneously complete the castles, keep them alive + win",smarttguyy_,$20,08-24-2024,
Long Live The Warrior King,"Get 5 kills with your starting scoutn, keep it alive + win",kongen_42,$20,06-20-2023,steve is the best
Earthquake Champion,Win a game with 0 buildings alive at time of victory,fi7li,$20,05-10-2020,"no notes, 10/10"
Jam Your BBC In Their Base,"Win using only vils and BBC (must make at least 10 BBC), no burgundians",Falrus,$20,,
A Wooden Envonomy,Win without gathering any resource but wood after reaching fedual age,chpstkx,$20,,
You Can Run But You Can't Hide,Win without walls or garrisoning any units,ens0099,$20,,
Militaristic Society2: Electric Boogaloo,Win without any villagers alive at time of vicotry (No burgundians),JimmyReinor,$20,,
Militaristic Society,Win without any villagers alive at time of victory,JimmyReinor,$20,,
Old Man Strength,Get to 100HP Aztec Monks Produce At Least 20 + Win,pax_au_telamanus,$20,,
That's Not What I Meant By “Slinging”,Make only slinders and win (must make at least 10),JimmyReinor,$20,,
The Benevolent Invader,Send all your sheep to your opponent and win,chp69100,$20,,
Right To Jail,Win with a wall enclosing you opponets base (buildings),cadaHB,$20,,
Might of Midas,Every military building must be touching a gold pile + win,KickerSemden,$20,,
No Khmercy,Create only ballista elephants and win,Nili_AOE,$20,,
Jeff's Strategy,Collect at least 1 stone from every stone pile on the map and win,Jikredible1,$20,,
An Uneducated Populace,No research allowed and win,RedNeal,$20,,
A Clean Victory,Have 50 genitours alive and win,Mangudied,$20,,
Fasterest Castle,Fet to Castle Age in Under 11 Minutes + win,Funny_liquid,$20,,
And My Axe,Make only throwings axeman + win,BinnyBongBaron,$20,,
OK Boomer,No clicking up to castle age until 100 villagers are alive and win,Funny_liquid,$20,,
A Barrel of Corpions,Win with 50+ scourprions alive at time of victory,cadaHB,$20,,
The Last Samuwrang,"Win by creating only samurai, the first samurai created must survive",BinnyBongBaron,$20,,
Everythings Coming Up Millhouse!,Win using only folwarks as houses,RedNeal314,$20,,
Get The Point?,Only spears allowed + win,JimmyReinor,$20,,
No Hitting,Deal 0 melee damage + win,Nesalami,$20,,
A Real All In,Delete your TC in Castle age + win. No additional TCs Allowed,DopingPositivo,$20,,
"Kiss Me, I'm 30 Mangonels",Have 30 Mangonels alive simultaneously at any point + win,JimmyReinor,$20,,
Centers of Attention,Win with 25 TCs alive or more at time of victory,chpstkx,$20,,
The End of The Rainbow,Wall in your main gold + win,Homebrandhadouken,$20,,
Never Go Full Petard,Build at least 17 petards + win No other military allowed,Mangudied,$20,,
The Woad To Bublin,Win with woads as the only produced military unit,JimmyReinor,$20,,
I Draw The Line,Win with a completed wall that touches parrelel outsides of the map,kongen_42,$20,,
No Touching,No structures are allowed to touch + win,SantaDriver,$20,,
"F** It, Make War Elephants",Win with war elephants as the only produced unit,Homebrandhadouken,$20,,
Build It Nice Build It Twice,All building must be built touching in pairs + win,MonkeyBurner,$20,,
Trappers,Wall at least 3 wild animals in + win,Homebrandhadouken,$20,,
The Cautious Shepherd,"Build a stone pen for your sheep, they all must survive in the pen + win",Shixo,$20,,
Bride of Greg,"With a male villager and a monk go forward to convert an ememy female villager and venture back to the starting monastery, all three must survive the road back + win",kongen_42,$20,,
Cantankerous Clergy,Win producing only warrior priest,PrideGaming96,$20,,
Inefecient Construction,All resource camps must be built touching the wrong resource + win,FreakinAndy,$20,,
Inclined To Build,Houses may only be placed on hills or elevations and win,PrideGaming96,$20,,
Chpstx Stylez,Win a game where you TC drop the opponent before castle age (no HP/TC bonus civs),(HC) Neil,$20,,
Custom Renovations,Replace 5 enemy building with your own + win,Imperator_DX,$20,,
Wonderwall,Win with a completed wall around your town that includes a wonder,TheRealHigh,$20,,
Religious Generosity,Drop at least 3 relics within LOS of your opponent's starting TC + win,Jojo_Baum,$20,,
An Explosive Victory,Win using only units that explode,BinnyBongBaron,$20,,
A Turtle In The Desert,Get a kill with a turtle ship on a land map and win,kongen_42,$20,,
Bounty A,Win a game without building a lumbercamp,Survivalist,$20,,
Siege The Day!,Win producing only siege units,Princessgadz,$20,,
Resistance Is Feudal,Win in feudal age on arabia,"RS,Newp9772",$20,,
Living On The Edge,All houses must touch the outside of the map (No Huns),EmperorAlHasan,$20,,
One Of A Kind,Win producing only unique units,"RS,Newp9772",$20,,
Bounty B,Trade with enemy for a total of 500 gold and win,Shixo,$20,,
Nomadic Heritage,Delete your starting TC in dark age and win,BinnyBongBaron,$20,,
Greg The Builder,All buildings other that farms must be built using the same villager and win,TheRealHigh,$20,,
Bounty C,Delete all starting bills and souut and win,FortuneFinder,$20,,
Bounty D,Win without making military units,chpstkx,$20,,
Dark Age Tactician,Win in Dark age,chpstkx,$20,,
Bounty E,Delete Wall on Arena and Win,Supermonkeycar3000,$20,,
Bounty F,Win on Arena in Fedual Age,chpstkx,$20,,
Bounty G,Build a Wonder,WeanDinchester,$20,,
Bounty H,Make Xolotol Warriors and Win,FlauschFuchs,$20,,
Bounty I,Build a Wall that touches both starting tcs and win,GurasTobbyBufas,$20,,
Bounty J,Win without loom on an open map,Supermonkeycar3000,$20,,